race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Mixed Race,19,0,0,1,Google,MY,35,27,33,42,22
Mixed Race,23,0,1,1,Test Website,IN,37,39,36,40,33
Mixed Race,14,1,1,1,Test Website,US,38,30,15,18,31
Caucasian (Indian),18,1,1,1,Test Website,IN,40,27,21,36,27
Mixed Race,18,1,0,1,Test Website,US,34,16,43,40,41
Caucasian (Middle East),16,0,1,1,Test Website,KW,33,31,19,29,25
No Response,23,1,0,1,Test Website,OM,32,37,35,43,33
Caucasian (Indian),22,0,0,1,Test Website,IN,30,38,43,44,33
Mixed Race,19,1,1,1,Test Website,US,44,28,13,37,42
Mixed Race,21,0,1,1,Test Website,US,36,37,29,40,29
Mixed Race,19,0,1,1,Test Website,MY,27,24,10,22,19
Mixed RaceNo Response,14,1,1,0,Test Website,AU,33,24,29,37,28
Caucasian (European),39,1,0,0,Test Website,AU,44,35,49,48,17
Caucasian (European),26,0,1,1,Other Source,DK,32,41,17,35,34
Caucasian (European),48,1,1,1,Test Website,GB,45,41,35,44,44
Caucasian (European),33,1,0,1,Other Source,NZ,34,38,20,33,23
Indigenous,20,0,1,1,Other Source,ID,30,35,27,27,31
Caucasian (European),22,0,0,0,Facebook,DK,33,39,44,48,37
Mixed Race,21,0,1,1,Test Website,TR,40,46,20,16,40
Caucasian (European),29,1,0,1,Other Source,GB,35,40,19,20,31
Caucasian (European),43,1,1,1,Test Website,AU,39,26,32,40,30
Mixed Race,13,1,0,2,Test Website,SG,45,37,21,28,20
Caucasian (Indian),22,0,1,1,Google,IN,32,31,25,40,29
Mixed Race,23,1,0,1,Google,GB,31,41,41,45,26
Caucasian (European),24,0,1,1,Test Website,LT,22,33,20,42,29
Caucasian (European),39,0,1,0,Other Source,GB,47,43,27,45,21
Caucasian (European),29,1,0,1,Other Source,AU,47,33,39,43,31
Caucasian (European),39,1,1,1,Test Website,IE,38,41,37,43,31
Mixed Race,26,0,0,1,Test Website,US,24,32,24,29,23
Mixed Race,17,1,0,1,Test Website,GB,44,20,46,44,11
Caucasian (European),18,1,0,1,Test Website,AU,41,32,44,44,21
Caucasian (Middle East),17,0,0,1,Other Source,IL,39,28,36,31,33
Mixed Race,26,0,0,1,Test Website,IN,40,35,38,40,31
Caucasian (European),17,1,1,0,Test Website,GB,37,30,24,41,26
Caucasian (European),16,1,0,1,Google,GB,29,35,29,32,24
