race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Caucasian (European),23,1,1,1,Other Source,CA,47,36,28,47,46
Caucasian (European),21,1,0,1,Google,US,40,33,18,45,22
Caucasian (European),20,1,0,1,Google,US,45,40,24,43,36
Caucasian (European),28,1,1,1,Google,US,46,22,40,38,39
Mixed Race,21,1,0,1,Other Source,US,30,25,35,30,24
Mixed Race,52,1,0,1,Test Website,US,45,41,36,45,45
Caucasian (European),18,1,1,1,Test Website,US,37,31,29,22,32
Caucasian (European),21,1,1,1,Other Source,US,48,39,25,26,36
Caucasian (European),30,1,0,1,Other Source,US,38,35,25,31,38
Caucasian (European),20,1,1,0,Google,US,46,46,45,45,39
Mixed Race,19,0,0,1,Test Website,US,30,31,28,29,26
Caucasian (European),52,1,0,1,Test Website,US,42,29,40,44,38
Mixed Race,19,1,0,1,Google,CA,45,31,23,37,14
Caucasian (European),41,1,0,1,Test Website,US,46,42,38,46,37
Caucasian (Indian),22,0,1,1,Google,IN,33,36,30,34,34
Caucasian (Indian),23,0,1,1,Google,IN,28,30,30,32,32
Caucasian (European),56,1,0,1,Test Website,US,38,42,23,40,30
Mixed Race,22,1,0,1,Test Website,US,39,37,25,42,16
Caucasian (Indian),33,0,0,1,Other Source,PH,31,42,17,37,36
Mixed Race,30,1,0,1,Test Website,US,32,30,16,39,14
Caucasian (European),24,1,0,2,Facebook,GB,45,30,42,32,22
Caucasian (European),22,1,0,1,Test Website,US,40,44,33,41,36
Mixed Race2,35,1,1,1,Test Website,ZA,44,45,25,46,41
Caucasian (European),21,1,1,1,Test Website,US,35,31,38,39,35
Caucasian (European),18,1,1,1,Other Source,US,37,24,14,42,17
Mixed Race,22,1,0,1,Other Source,US,41,24,29,45,14
Mixed Race,22,0,0,1,Google,AU,41,42,40,45,29
Caucasian (Indian),33,0,1,1,Test Website,IN,30,33,11,28,16
Caucasian (European),18,1,0,2,Test Website,NZ,34,24,10,16,24
Mixed Race,13,1,1,0,Test Website,AU,42,32,21,33,39
Mixed Race,25,1,0,1,Facebook,TW,38,35,12,41,15
North East Asian,23,0,1,1,Google,KR,42,38,25,30,34
Mixed Race,17,0,1,1,Other Source,PH,40,36,29,37,36
Caucasian (European),67,0,1,1,Google,SE,43,37,35,38,38
Caucasian (European),18,0,1,1,Test Website,US,41,31,34,40,34
Mixed Race,24,1,0,1,Facebook,US,33,35,9,44,18
Caucasian (European),32,1,1,1,Test Website,CA,46,27,17,43,26
Caucasian (European),18,1,0,1,Google,US,43,44,33,35,41
Mixed Race,17,0,0,0,Google,PH,36,32,28,44,27
Mixed Race,18,1,0,1,Other Source,AT,45,32,36,36,34
Caucasian (European),68,1,0,1,Google,US,39,37,20,36,35
Mixed Race,49,0,1,1,Test Website,IN,41,41,28,45,37
Caucasian (European),15,1,0,1,Test Website,GB,37,32,14,36,20
Caucasian (Indian),60,0,1,1,Test Website,IN,32,38,18,48,26
Caucasian (Indian),25,0,1,1,Test Website,IN,38,41,23,40,25
Mixed Race,17,0,0,1,Other Source,PH,41,37,25,40,17
Caucasian (European),17,1,1,0,Test Website,AU,36,22,38,50,20
Mixed Race,26,0,0,1,Test Website,BH,44,33,27,39,37
Caucasian (European),19,1,0,1,Test Website,US,46,37,42,30,34
Mixed Race,16,0,1,1,Test Website,PH,40,42,33,38,33
Native American,52,1,1,1,Test Website,GB,33,43,33,41,38
Mixed Race,17,0,0,1,Google,PH,42,46,29,46,42
Mixed Race,27,0,0,1,Google,DE,30,38,22,38,34
Caucasian (Indian),28,0,1,1,Test Website,IN,37,15,15,46,26
Caucasian (European),43,1,1,1,Test Website,US,49,32,30,43,39
Mixed Race,14,0,0,0,Google,PH,43,33,24,42,17
Caucasian (Indian),26,0,0,1,Test Website,IN,35,31,22,36,17
Caucasian (Indian),22,0,1,1,Test Website,IN,42,38,29,42,38
Caucasian (European),24,0,1,1,Test Website,CH,43,20,35,23,26
Caucasian (Indian),26,0,0,1,Test Website,IN,35,34,21,41,17
Caucasian (European),13,1,0,1,Test Website,ZA,46,45,40,45,38
Caucasian (European),20,1,1,1,Google,NZ,45,30,37,43,41
Caucasian (European),39,1,1,1,Test Website,GB,38,38,17,32,33
Caucasian (Indian),17,1,1,1,Test Website,US,47,30,37,42,43
Caucasian (European),16,1,0,1,Test Website,US,37,32,11,40,10
Native American,16,1,1,1,Test Website,US,30,27,25,32,43
Mixed Race,16,1,0,1,Test Website,US,35,24,28,30,13
Caucasian (European),18,1,1,2,Google,US,38,32,29,31,20
Mixed Race,16,1,1,1,Test Website,US,39,41,27,35,27
Mixed Race,17,1,1,0,Test Website,US,40,31,21,43,26
Caucasian (European),68,1,1,1,Test Website,US,33,23,23,27,32
Caucasian (Indian),23,0,0,1,Test Website,US,36,45,31,42,25
Caucasian (European),28,1,0,1,Test Website,AU,32,23,11,38,11
Caucasian (European),17,0,0,1,Test Website,NO,43,18,23,39,21
Caucasian (European),42,1,1,0,Google,US,41,44,18,34,37
Mixed Race,41,1,0,0,Test Website,GR,35,31,29,50,18
Mixed Race,14,1,0,1,Other Source,AU,43,24,39,32,24
Mixed Race,27,1,1,1,Test Website,GB,34,36,32,43,29
Mixed Race,23,0,0,1,Other Source,LK,50,39,37,42,29
Caucasian (European),18,0,1,1,Test Website,LT,33,31,20,14,39
Caucasian (European),23,1,1,1,Other Source,CA,48,37,26,47,46
Caucasian (European),56,1,0,0,Test Website,US,47,28,29,50,32
Caucasian (European),58,1,1,1,Test Website,AE,44,37,33,38,31
Caucasian (European),19,1,1,0,Test Website,US,43,41,11,22,15
Caucasian (European),16,1,0,1,Other Source,US,39,21,29,36,35
Caucasian (European),15,1,1,1,Test Website,US,43,30,39,43,33
Mixed Race,25,0,0,1,Google,IN,41,34,25,45,30
Caucasian (European),29,0,1,1,Test Website,US,39,27,20,16,14
Mixed Race,23,0,0,1,Test Website,KE,30,36,28,49,47
Mixed Race,22,0,0,1,Google,MY,34,37,35,39,36
Caucasian (European),43,0,0,1,Test Website,GB,35,29,21,48,22
Caucasian (European),69,1,0,1,Test Website,US,45,32,13,32,18
Caucasian (European),34,1,1,0,Test Website,GB,46,27,34,22,28
Caucasian (Indian),46,1,1,0,Test Website,GB,36,47,29,38,36
Caucasian (European),15,0,0,1,Test Website,RO,42,27,29,45,28
Caucasian (European),18,0,0,1,Test Website,IT,42,29,29,37,32
Mixed Race,36,0,0,1,Other Source,CA,45,35,41,45,33
Caucasian (European),19,1,0,1,Other Source,US,33,42,41,33,26
Caucasian (European),16,1,0,1,Other Source,US,50,37,37,45,30
Caucasian (Middle East),17,1,0,1,Other Source,US,46,32,33,46,31
Mixed Race,17,1,0,1,Other Source,US,32,36,28,39,28
Mixed Race,29,0,0,1,Other Source,SG,35,22,9,32,32
Mixed Race,21,0,0,1,Test Website,US,28,30,26,40,26
Caucasian (European),16,1,0,1,Test Website,US,36,20,17,28,16
Mixed Race,20,1,0,1,Other Source,US,31,35,31,38,33
Caucasian (European),14,1,0,2,Other Source,US,50,42,24,46,41
Mixed Race,22,0,0,1,Other Source,MY,36,34,37,33,38
Caucasian (European),19,1,0,1,Other Source,US,45,46,17,40,10
Mixed Race,16,1,1,0,Test Website,PH,30,30,25,38,22
Caucasian (Indian),21,1,1,1,Test Website,IN,39,44,22,30,31
Mixed Race,22,1,1,1,Test Website,US,45,29,12,32,32
Caucasian (European),27,1,0,1,Other Source,US,44,33,33,37,31
Mixed Race,21,0,0,1,Other Source,US,44,34,20,31,25
Caucasian (European),27,1,1,1,Test Website,CA,47,37,28,36,35
Caucasian (European),21,1,1,0,Test Website,AU,47,30,33,38,23
Mixed Race,21,0,0,1,Other Source,US,46,32,15,28,19
Mixed Race,29,1,0,1,Test Website,ZA,47,29,35,46,32
Caucasian (European),48,1,1,1,Test Website,US,32,35,44,41,46
Caucasian (European),19,1,0,0,Google,US,38,18,17,50,21
Mixed Race,38,0,0,1,Google,MT,33,42,35,43,29
Caucasian (European),25,0,0,1,Test Website,IS,46,22,35,41,31
Caucasian (Indian),33,1,0,1,Test Website,AE,33,28,29,35,24
Caucasian (European),18,0,0,1,Google,FI,40,23,20,40,25
Caucasian (European),24,0,1,1,Test Website,IS,43,37,17,22,15
Caucasian (European),20,1,0,1,Other Source,US,42,28,41,41,36
Caucasian (European),22,0,1,2,Test Website,NL,38,47,20,35,43
Caucasian (European),19,1,1,1,Google,US,48,31,27,27,36
Mixed Race,21,1,0,1,Other Source,US,42,41,41,44,44
Caucasian (European),18,0,0,1,Facebook,FI,35,40,39,33,36
Caucasian (European),20,1,0,1,Test Website,US,42,34,38,42,32
Mixed Race,20,1,1,1,Google,US,41,27,15,45,34
Caucasian (European),19,0,1,1,Test Website,RU,48,38,26,36,29
Mixed Race,22,1,0,0,Other Source,BD,35,27,23,24,19
Mixed Race,36,1,0,1,Test Website,US,49,30,33,35,21
Mixed Race,37,1,0,1,Test Website,US,36,40,37,41,40
Caucasian (European),37,1,0,1,Test Website,NL,32,40,35,40,38
Caucasian (European),21,0,1,1,Test Website,BR,39,31,26,39,26
Caucasian (European),68,1,1,1,Test Website,US,30,29,29,30,29
Mixed Race,24,0,1,1,Google,MY,38,33,37,40,30
Caucasian (European),27,0,0,1,Other Source,US,32,32,39,44,36
Caucasian (Indian),20,0,1,1,Test Website,IN,43,32,24,43,26
Caucasian (European),19,1,0,1,Other Source,US,44,41,16,39,14
Caucasian (European),17,1,1,1,Google,CA,31,33,29,36,31
Caucasian (European),25,1,0,1,Test Website,CA,34,49,41,41,41
Caucasian (European),16,1,0,1,Test Website,GB,47,32,40,40,36
Caucasian (European),20,0,0,1,Google,GR,39,30,17,46,17
North East Asian,32,0,1,1,Test Website,US,35,35,13,38,31
Caucasian (European),20,1,0,1,Test Website,US,40,31,44,46,26
Mixed Race,1994,0,0,1,Google,MY,26,39,21,38,26
Caucasian (European),26,0,0,1,Test Website,CZ,48,23,37,33,24
Caucasian (European),32,1,0,1,Test Website,CA,46,37,19,47,26
Mixed Race,49,1,0,1,Other Source,US,34,32,23,34,29
Mixed Race,32,1,1,1,Google,US,45,47,29,41,31
Caucasian (European),46,1,1,1,Test Website,US,44,37,24,31,30
Caucasian (European),19,1,0,1,Other Source,US,28,30,25,48,21
Caucasian (European),16,1,1,1,Test Website,GB,39,30,28,40,27
Caucasian (European),56,1,1,0,Google,US,46,37,28,47,20
Caucasian (European),23,1,0,1,Other Source,US,45,42,35,43,28
Caucasian (European),26,1,1,1,Google,US,42,37,37,43,46
Caucasian (European),57,1,0,1,Test Website,GB,48,39,41,45,38
Mixed Race,25,1,0,1,Test Website,IN,36,31,25,39,18
Caucasian (Indian),21,0,1,1,Other Source,BD,33,29,34,33,45
Caucasian (European),48,1,0,1,Test Website,US,38,35,24,45,29
Caucasian (European),18,1,0,0,Other Source,US,24,33,14,37,12
Caucasian (European),27,1,0,1,Test Website,US,43,35,37,46,24
Caucasian (European),31,1,0,1,Other Source,US,49,41,33,46,33
Caucasian (European),18,1,0,1,Test Website,US,39,45,45,43,35
Caucasian (European),16,0,1,1,Test Website,GB,48,37,21,31,39
Mixed Race,19,1,0,1,Google,US,37,22,25,37,36
Mixed Race,19,1,0,1,Other Source,US,41,20,24,34,32
Caucasian (European),26,1,0,1,Other Source,US,36,38,44,47,40
Caucasian (European),18,1,1,1,Test Website,US,45,21,19,28,34
Mixed Race,18,1,1,0,Google,US,27,29,14,38,27
Caucasian (European),43,1,1,1,Test Website,GB,38,32,36,33,20
Caucasian (European),21,1,1,1,Test Website,GB,27,29,9,27,13
Mixed Race,26,0,0,0,Test Website,TH,39,36,21,29,20
Caucasian (European),39,0,1,1,Other Source,CH,41,29,22,38,29
Caucasian (European),56,0,0,1,Test Website,CA,32,48,34,39,26
Mixed Race2,20,0,1,1,Other Source,US,47,31,35,39,34
Caucasian (European),15,1,1,1,Test Website,US,33,30,23,34,19
Mixed Race,21,0,0,1,Other Source,PK,33,25,26,44,36
Mixed Race,30,1,0,1,Google,US,32,39,38,38,44
Caucasian (Middle East),16,1,0,1,Test Website,US,29,39,39,48,13
Caucasian (European),21,1,0,1,Google,US,42,43,15,49,25
Mixed Race,16,1,1,1,Other Source,US,48,28,27,43,40
Mixed Race,13,1,0,1,Other Source,GB,43,42,28,48,44
No Response,26,1,0,1,Other Source,CA,36,34,30,48,38
Caucasian (European),16,0,0,1,Google,SE,35,24,26,38,20
Mixed Race,16,0,0,1,Google,US,31,40,16,43,38
Caucasian (European),26,1,1,1,Google,CA,45,40,30,42,42
Caucasian (North African),18,1,0,1,Test Website,US,32,28,34,42,40
Caucasian (Indian),19,1,0,1,Google,US,39,30,29,35,15
Caucasian (European),65,1,0,1,Test Website,GB,39,20,19,35,24
Mixed Race,46,1,0,1,Google,US,38,20,40,42,24
Caucasian (European),52,1,0,1,Test Website,US,46,34,33,45,26
Caucasian (European),21,0,1,1,Test Website,GB,36,35,35,39,22
Caucasian (North African),18,1,0,1,Test Website,US,31,39,41,43,33
Caucasian (European),54,1,0,1,Test Website,US,47,45,37,48,46
Caucasian (European),32,1,0,1,Other Source,US,47,40,35,44,29
Caucasian (European),20,1,1,1,Test Website,NZ,37,24,30,38,29
Caucasian (European),18,1,0,1,Other Source,US,38,37,32,38,23
Caucasian (European),36,0,1,1,Test Website,RS,50,45,27,25,17
Caucasian (European),56,1,0,1,Test Website,GB,38,30,22,39,27
Mixed Race,21,1,0,1,Google,US,38,42,43,46,34
Caucasian (European),19,1,0,1,Test Website,US,34,19,34,40,20
Caucasian (European),27,1,0,1,Test Website,US,33,46,21,47,26
Mixed Race,20,1,1,1,Google,CA,46,50,41,47,43
Caucasian (European),18,1,0,1,Other Source,US,35,38,27,36,19
Caucasian (European),25,1,0,1,Test Website,US,45,27,25,41,28
Caucasian (North African),18,1,0,1,Other Source,US,31,30,33,45,30
Mixed Race,15,0,0,1,Test Website,GB,33,43,19,33,17
Caucasian (European),37,1,0,1,Google,US,44,40,37,46,37
Caucasian (European),20,1,0,0,Google,ZA,44,27,34,46,48
Caucasian (European),28,1,0,1,Google,CA,44,35,34,48,28
Caucasian (European),15,1,0,1,Test Website,GB,36,44,17,26,28
Caucasian (European),17,1,0,1,Test Website,GB,39,29,25,32,43
Mixed Race,23,0,1,1,Other Source,US,40,47,31,35,29
Caucasian (Indian),14,1,0,1,Test Website,GB,34,35,26,41,24
Mixed Race,18,1,0,1,Other Source,US,29,40,29,47,22
Caucasian (European),50,1,0,1,Other Source,GB,37,45,39,47,35
Caucasian (European),23,1,0,1,Test Website,US,35,29,33,32,24
Mixed Race,16,1,0,1,Test Website,GB,30,34,26,37,29
Caucasian (European),24,1,0,1,Google,US,40,39,15,31,29
Mixed Race,17,1,0,1,Test Website,US,46,22,21,35,29
Caucasian (European),33,1,0,1,Other Source,US,50,29,40,45,24
Caucasian (European),21,1,0,1,Test Website,US,38,31,20,37,11
Caucasian (European),18,1,1,1,Test Website,GB,34,28,28,27,21
Mixed Race,19,0,0,1,Google,PH,44,38,27,45,26
Caucasian (European),27,1,1,1,Other Source,US,45,33,39,46,27
Caucasian (European),46,0,1,1,Other Source,IT,34,36,30,37,29
Caucasian (European),42,1,1,1,Google,US,50,47,11,39,34
Caucasian (European),15,1,0,1,Test Website,GB,45,48,19,35,29
Mixed Race,21,0,0,1,Google,US,38,21,31,41,29
Native American,14,1,0,1,Test Website,KY,35,32,20,28,22
Caucasian (European),15,0,1,1,Test Website,BR,41,34,22,32,31
Native American,21,1,1,1,Test Website,US,34,41,37,46,38
Mixed Race,25,1,1,1,Test Website,IL,49,39,36,44,43
Caucasian (European),21,0,1,1,Google,ES,47,35,20,34,27
Caucasian (European),24,1,0,1,Google,US,29,30,31,38,35
Caucasian (Middle East),23,0,1,1,Test Website,IL,46,25,32,48,30
Caucasian (European),22,0,0,1,Google,US,38,27,15,49,18
Caucasian (European),24,0,0,1,Google,BA,38,28,21,37,31
Caucasian (European),18,1,0,1,Other Source,US,41,31,31,45,38
Native American,44,1,0,0,Other Source,US,38,47,39,48,46
Caucasian (European),15,1,0,1,Google,US,22,31,9,31,20
Caucasian (European),31,1,0,1,Test Website,US,42,32,16,31,26
Caucasian (European),42,1,0,1,Test Website,GB,43,44,35,48,30
Mixed Race,18,0,1,1,Test Website,MU,35,46,27,39,43
Mixed Race,27,1,0,1,Test Website,US,37,39,37,50,24
Caucasian (European),18,1,1,0,Google,US,50,36,45,47,41
Mixed Race,19,1,1,1,Other Source,US,48,36,23,37,14
Mixed Race2,23,1,1,0,Other Source,US,35,45,37,37,47
Caucasian (European),22,1,0,2,Google,CA,32,46,24,39,34
Caucasian (European),25,1,1,1,Test Website,AU,40,28,20,35,34
Mixed Race,29,0,0,1,Other Source,US,35,34,25,47,26
Caucasian (European),32,0,0,1,Test Website,PL,48,32,32,37,14
Caucasian (European),20,1,0,1,Google,US,39,28,20,37,41
Caucasian (North African),31,1,0,1,Other Source,US,43,42,38,47,36
Caucasian (European),37,1,0,1,Google,NZ,36,37,34,40,35
Caucasian (European),35,1,1,1,Test Website,SG,44,37,27,30,36
Caucasian (European),16,1,0,1,Test Website,US,39,24,23,44,11
Caucasian (Indian),19,1,0,1,Test Website,US,29,21,39,26,25
Mixed Race,23,0,0,1,Other Source,US,36,29,22,39,13
Caucasian (European),17,1,0,1,Google,US,48,30,17,50,23
Caucasian (European),20,1,1,1,Other Source,US,43,37,21,33,41
Caucasian (European),45,1,0,1,Test Website,US,40,46,24,42,20
Caucasian (European),57,1,0,1,Other Source,US,43,28,37,42,39
Caucasian (European),21,1,0,1,Test Website,GB,32,26,32,44,16
Mixed Race,16,0,0,1,Test Website,CA,37,26,45,44,41
Mixed Race,13,1,0,1,Test Website,US,46,48,19,39,28
Caucasian (European),41,1,0,1,Google,US,41,50,42,49,42
Caucasian (European),17,1,0,1,Other Source,CA,37,28,21,45,31
Mixed Race,16,1,0,1,Google,US,33,25,17,29,21
Caucasian (European),40,1,0,1,Test Website,IE,40,36,36,40,36
Caucasian (North African),21,1,1,0,Other Source,US,41,40,36,33,35
Caucasian (European),17,1,1,0,Test Website,GB,44,24,32,34,32
Caucasian (European),31,0,1,1,Test Website,RS,35,31,23,39,19
Caucasian (European),21,1,1,1,Google,US,40,38,25,46,40
Caucasian (European),20,1,1,1,Test Website,GB,34,30,28,43,35
Caucasian (European),22,1,1,1,Other Source,US,35,41,25,27,30
Caucasian (European),21,1,0,0,Test Website,US,37,36,33,46,32
Mixed Race,18,1,1,2,Test Website,US,44,36,23,41,50
Mixed Race,25,1,0,1,Test Website,PH,42,35,30,40,19
Caucasian (European),38,1,1,1,Test Website,US,26,33,16,17,25
Caucasian (European),17,1,0,1,Test Website,US,36,26,26,40,17
Mixed Race,19,1,0,1,Other Source,US,35,43,32,39,31
Caucasian (North African),19,1,0,1,Other Source,US,31,41,44,46,44
Mixed Race,1996,0,0,1,Other Source,CA,32,27,26,41,26
Caucasian (European),17,1,0,1,Other Source,US,36,36,18,24,26
Caucasian (North African),18,1,0,0,Other Source,US,26,31,34,40,26
Caucasian (European),19,1,0,1,Test Website,US,31,44,30,44,30
Caucasian (European),21,1,1,2,Google,US,38,35,30,30,17
Caucasian (European),26,1,0,0,Google,US,49,38,21,48,32
Mixed Race,19,1,0,1,Other Source,US,43,22,29,41,24
Caucasian (European),51,1,1,0,Other Source,CA,49,44,35,41,41
Caucasian (North African),17,1,0,1,Other Source,US,42,15,36,37,38
Mixed Race2,13,1,0,1,Test Website,US,34,27,22,43,17
Mixed Race,27,1,0,1,Google,US,30,38,37,49,26
Mixed Race,37,1,0,1,Test Website,US,33,43,26,37,39
Mixed Race,22,0,0,1,Test Website,AP,38,37,19,26,27
Caucasian (European),28,1,0,1,Test Website,US,34,34,41,35,19
Caucasian (European),23,1,0,1,Google,US,37,38,21,41,32
Caucasian (European),14,1,1,1,Test Website,US,50,38,23,26,40
Caucasian (North African),15,1,1,1,Test Website,US,43,19,22,48,22
Mixed Race,33,0,0,1,Test Website,PH,37,39,31,37,25
Caucasian (European),18,1,0,1,Test Website,US,37,47,37,38,32
Caucasian (European),16,1,0,1,Test Website,US,39,30,25,46,20
Caucasian (European),21,1,0,1,Test Website,US,34,32,25,34,27
Mixed Race,17,1,0,1,Test Website,US,38,29,24,33,27
Caucasian (European),18,1,1,1,Other Source,US,43,23,10,18,19
Caucasian (European),18,1,0,1,Test Website,US,46,27,32,25,48
Caucasian (European),18,1,0,0,Test Website,US,40,48,39,39,30
Caucasian (European),37,1,0,1,Test Website,AU,35,36,32,45,26
Mixed Race,20,1,0,0,Test Website,PH,45,41,27,45,21
Caucasian (European),17,1,1,1,Other Source,US,41,28,12,30,37
Caucasian (European),18,0,0,1,Test Website,US,42,33,23,35,14
Mixed Race,13,0,0,2,Google,US,32,24,20,38,25
Caucasian (European),40,1,0,1,Test Website,US,45,29,24,34,29
Caucasian (European),18,1,0,1,Other Source,US,37,30,31,44,24
Caucasian (European),33,1,0,1,Google,US,41,23,24,38,17
Caucasian (European),19,1,0,1,Google,US,44,26,25,38,32
Mixed Race,13,0,1,1,Test Website,AU,31,50,29,19,29
Mixed Race,20,1,3,1,Google,US,44,32,20,35,28
Mixed Race,17,0,0,1,Test Website,PH,47,27,28,31,20
Caucasian (Indian),23,1,1,1,Google,US,45,35,31,45,35
Caucasian (European),15,1,1,0,Test Website,US,40,29,10,34,35
Caucasian (European),40,1,0,1,Test Website,GB,33,24,16,36,19
Mixed Race,23,0,0,1,Test Website,US,34,31,24,45,28
Mixed Race,16,0,1,2,Test Website,MX,47,29,27,30,17
Caucasian (European),38,1,0,1,Other Source,US,34,34,16,47,21
Mixed Race,1993,1,0,1,Google,MY,41,31,30,35,23
North East Asian,23,0,1,1,Other Source,MY,42,44,39,45,45
Mixed Race,28,1,0,1,Other Source,US,50,34,38,31,21
Caucasian (European),67,1,0,1,Test Website,US,38,45,38,33,37
Mixed Race,24,0,1,1,Other Source,US,47,43,11,50,28
Mixed Race,18,1,3,2,Google,US,41,42,29,41,38
Caucasian (European),42,1,1,1,Test Website,US,47,41,35,41,42
Caucasian (European),28,0,0,1,Google,US,38,26,35,46,30
Caucasian (European),19,1,0,1,Other Source,US,45,36,36,38,24
Caucasian (European),23,1,0,1,Google,US,41,31,28,46,27
Caucasian (Indian),18,0,1,1,Test Website,IN,38,27,21,38,37
Caucasian (European),19,1,1,1,Other Source,US,41,41,28,47,30
Mixed Race,33,1,0,1,Test Website,US,31,41,16,43,21
Mixed Race,24,1,1,1,Test Website,US,42,33,29,47,18
Mixed Race,23,1,0,1,Test Website,US,26,26,25,40,12
Caucasian (European),17,1,0,1,Test Website,US,45,25,12,40,18
Caucasian (North African),54,1,0,1,Test Website,CA,45,43,33,48,23
Mixed Race,39,1,0,1,Google,US,44,41,32,47,47
Mixed Race,24,0,0,1,Test Website,US,35,33,35,43,32
Caucasian (European),25,1,1,1,Test Website,US,50,20,13,28,37
Mixed Race,23,0,0,1,Test Website,PK,24,20,30,40,24
Caucasian (Indian),21,0,0,1,Test Website,IN,34,35,34,40,27
Mixed Race,42,0,0,1,Other Source,AP,37,32,31,37,38
Mixed Race,21,0,0,1,Test Website,PK,37,31,22,33,38
Mixed Race,23,0,0,1,Test Website,PK,24,22,34,38,22
Mixed Race,21,1,1,1,Test Website,CA,36,36,21,29,20
Caucasian (European),18,1,0,1,Facebook,US,44,33,33,47,13
Caucasian (European),29,1,0,1,Other Source,US,42,40,16,34,34
Caucasian (North African),27,1,1,1,Test Website,US,41,43,43,40,48
Caucasian (European),29,1,1,1,Test Website,US,47,36,25,37,27
Mixed Race,17,0,1,1,Test Website,US,43,45,11,24,35
Caucasian (European),13,1,0,1,Test Website,US,39,23,11,20,22
Caucasian (European),54,1,0,1,Test Website,GB,37,39,29,40,33
Caucasian (European),13,1,0,1,Test Website,AU,47,38,41,41,30
Mixed Race,27,0,0,1,Test Website,KE,34,40,26,36,23
Caucasian (European),27,0,0,1,Google,ID,45,32,32,35,26
Mixed Race,26,0,0,1,Test Website,US,39,34,22,35,26
Caucasian (European),25,1,0,1,Test Website,NZ,48,32,18,48,20
Caucasian (European),33,1,1,1,Google,AU,38,33,21,24,38
Caucasian (Middle East),33,0,1,1,Test Website,LB,38,41,15,42,27
Mixed Race,19,0,0,1,Test Website,CL,42,30,31,43,35
Caucasian (Indian),24,0,0,1,Google,IN,23,25,27,27,38
Mixed Race,33,0,1,1,Test Website,ES,46,34,23,34,27
Caucasian (European),17,1,1,1,Google,BE,42,31,38,35,37
Caucasian (European),19,1,0,1,Test Website,US,34,26,38,41,14
Caucasian (Indian),25,0,1,1,Test Website,IN,26,18,25,30,26
Mixed Race,27,1,0,1,Test Website,AU,45,38,17,34,21
Mixed Race,22,0,0,1,Other Source,HK,46,47,22,45,30
North East Asian,20,0,0,1,Test Website,MN,38,23,31,44,38
Mixed Race,14,1,0,1,Other Source,US,25,21,9,36,17
Mixed Race,21,0,1,1,Test Website,IN,41,25,38,44,16
Mixed Race,17,1,1,1,Test Website,US,38,32,28,38,28
Mixed Race2,30,0,1,1,Google,ET,42,38,40,49,39
Caucasian (European),26,0,0,0,Google,LV,35,27,28,35,20
Mixed Race,32,0,0,1,Test Website,SA,45,33,16,27,42
Mixed Race,19,1,0,1,Test Website,ES,50,37,33,29,16
Caucasian (Indian),31,0,1,1,Test Website,IN,36,29,32,39,33
Caucasian (European),28,1,0,1,Test Website,GB,48,21,33,33,24
Caucasian (European),27,1,0,1,Test Website,AU,41,36,34,45,40
Mixed Race,26,1,0,1,Test Website,IN,36,34,30,33,35
Caucasian (European),20,1,0,1,Google,AU,30,22,33,43,23
Caucasian (European),17,1,0,2,Test Website,GB,49,38,30,50,44
Caucasian (European),40,1,1,1,Test Website,US,40,35,29,38,36
Mixed Race,21,1,0,1,Test Website,ID,45,41,38,45,29
Mixed Race,46,1,1,1,Google,IN,47,50,37,45,35
Caucasian (European),36,1,1,1,Test Website,US,50,45,31,37,45
Mixed Race,16,1,1,0,Test Website,AU,43,26,31,42,50
Caucasian (European),22,0,1,1,Test Website,NZ,43,34,18,35,30
Mixed Race,19,1,0,1,Test Website,AU,36,29,43,33,36
Mixed Race,27,1,0,1,Test Website,GB,33,40,33,41,22
Caucasian (North African),23,1,1,1,Test Website,KR,37,42,39,47,44
Caucasian (Indian),18,0,1,1,Test Website,PK,38,31,25,30,24
Caucasian (European),24,1,1,1,Test Website,US,42,24,12,15,20
Caucasian (European),26,1,1,0,Test Website,CA,46,30,31,41,29
Mixed Race,1992,0,0,1,Google,PK,29,33,29,37,20
Caucasian (European),20,1,0,1,Test Website,AU,47,25,27,40,28
Caucasian (European),37,0,0,1,Google,IT,37,40,27,42,42
Mixed Race,18,1,1,1,Test Website,AU,47,42,24,42,31
Caucasian (European),44,1,0,1,Test Website,US,44,46,27,44,21
Mixed Race,18,0,0,1,Other Source,A1,17,24,18,26,25
Caucasian (European),37,0,0,1,Google,AU,45,32,27,41,20
Caucasian (European),21,1,0,1,Test Website,US,42,28,38,39,31
Mixed Race,26,1,0,1,Test Website,US,46,29,25,40,16
Caucasian (Middle East),40,0,0,1,Other Source,CA,41,37,29,36,38
Mixed Race,21,0,0,1,Test Website,ID,49,35,22,34,13
Caucasian (European),18,1,1,1,Other Source,GB,36,25,19,43,17
Caucasian (European),18,1,0,1,Test Website,AU,41,27,38,43,29
Caucasian (Indian),18,0,1,1,Test Website,BD,49,41,23,23,34
Caucasian (European),26,0,0,1,Test Website,DE,45,25,43,48,12
Mixed Race,17,0,1,1,Test Website,AU,44,36,23,40,43
Mixed Race,18,0,0,1,Test Website,PH,31,29,19,29,25
Mixed Race,18,1,0,1,Test Website,PH,25,25,21,30,18
Mixed Race,21,0,0,1,Facebook,PK,44,44,31,27,30
Caucasian (European),22,1,1,2,Google,US,43,28,21,15,23
